List,Short,Name,Labels,Attachments,Comments,DescLength,Url,UpdateLabel
"Стратегия","171","1.0 Составление стратегии продвижении и рекламы","Codex; Done. Testing","2","5","446","https://trello.com/c/W5Ov5djR/171-10-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D0%B8-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B8-%D0%B8-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B","false"
"Стратегия","208","1.1 Анализ рынка и целевой аудитории","","0","1","3074","https://trello.com/c/6VTMTt7b/208-11-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7-%D1%80%D1%8B%D0%BD%D0%BA%D0%B0-%D0%B8-%D1%86%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B9-%D0%B0%D1%83%D0%B4%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8","false"
"Стратегия","213","1.2. Анализ конкурентов","","0","1","860","https://trello.com/c/zQW2Htac/213-12-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7-%D0%BA%D0%BE%D0%BD%D0%BA%D1%83%D1%80%D0%B5%D0%BD%D1%82%D0%BE%D0%B2","false"
"Стратегия","214","1.4. Поиск и работа с астрологами","Codex; Done. Testing","0","1","431","https://trello.com/c/Y5rPcPMI/214-14-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA-%D0%B8-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B0%D0%BC%D0%B8","false"
"Стратегия","215","1.5. Техническая часть","Codex; Done. Testing","0","2","866","https://trello.com/c/K7Sn0ey2/215-15-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D1%87%D0%B0%D1%81%D1%82%D1%8C","false"
"Стратегия","216","1.6. Юридические вопросы","","0","2","908","https://trello.com/c/9mcDFqLL/216-16-%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B","false"
"Стратегия","217","1.7. Маркетинг и привлечение клиентов","Codex; Done. Testing","0","1","488","https://trello.com/c/VSVUXCqe/217-17-%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%B8%D0%BD%D0%B3-%D0%B8-%D0%BF%D1%80%D0%B8%D0%B2%D0%BB%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82%D0%BE%D0%B2","false"
"Стратегия","288","Стратегия. Свод этапа 1","Codex; Done. Testing","0","1","0","https://trello.com/c/r1VjcfBi/288-%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%8F-%D1%81%D0%B2%D0%BE%D0%B4-%D1%8D%D1%82%D0%B0%D0%BF%D0%B0-1","false"
"Стратегия","218","2. Подготовительный этап","Codex; Done. Testing","0","1","715","https://trello.com/c/YA7p0sIh/218-2-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D1%8D%D1%82%D0%B0%D0%BF","false"
"Стратегия","219","3. Готовность MVP","Codex; Done. Testing","0","1","496","https://trello.com/c/Mqfr0f8w/219-3-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D1%8C-mvp","false"
"Стратегия","220","4. Подготовка к запуску (параллельно с разработкой)","Codex; Done. Testing","0","1","531","https://trello.com/c/ySCW17BG/220-4-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B0-%D0%BA-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D1%83-%D0%BF%D0%B0%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE-%D1%81-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%BE%D0%B9","false"
"Стратегия","221","5. Запуск и первые продажи","Codex; Done. Testing","0","1","457","https://trello.com/c/wIZiE0NL/221-5-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA-%D0%B8-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D0%B5-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B8","false"
"Стратегия","222","6. Масштабирование и улучшение","","0","0","375","https://trello.com/c/WNvUTUqx/222-6-%D0%BC%D0%B0%D1%81%D1%88%D1%82%D0%B0%D0%B1%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%B8-%D1%83%D0%BB%D1%83%D1%87%D1%88%D0%B5%D0%BD%D0%B8%D0%B5","false"
