"card","url","status","accessClass"
"1.0 Составление стратегии продвижении и рекламы","https://docs.google.com/spreadsheets/d/13paNBjr5ZShsu-HkhI-46YiU9E54FEbS4FFd7YhbdbU/edit?gid=2126563891#gid=2126563891","200","reachable"
"1.0 Составление стратегии продвижении и рекламы","https://trello.com/c/oc253ky4/172-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%D1%8C-%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D0%BF%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D0%BF%D0%BB%D0%B0%D0%BD-%D0%BF%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D","internal_or_not_checked","internal_or_not_checked"
"1.0 Составление стратегии продвижении и рекламы","https://trello.com/c/oc253ky4/172-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%D1%8C-%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D0%BF%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D0%BF%D0%BB%D0%B0%D0%BD-%D0%BF%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D1%8E-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B0-nebula","internal_or_not_checked","internal_or_not_checked"
"1.0 Составление стратегии продвижении и рекламы","https://trello.com/c/T5o0gWEu/70-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D1%8D%D1%82%D0%B0%D0%BF","internal_or_not_checked","internal_or_not_checked"
"1.1 Анализ рынка и целевой аудитории","https://docs.google.com/spreadsheets/d/13paNBjr5ZShsu-HkhI-46YiU9E54FEbS4FFd7YhbdbU/edit?usp=sharing","200","reachable"
"1.2. Анализ конкурентов","https://docs.google.com/spreadsheets/d/1Kjw7vR85aia-bKbN6ThjWlPDg9uNZUcfqXZtp1OsUDE/edit?usp=sharing","200","reachable"
"1.2. Анализ конкурентов","https://docs.google.com/document/d/1D3SkM0YOYzu4axT6qxBybyzBXar0cmLq4Z4bqr-7m-U/edit?usp=sharing","200","reachable"
"1.6. Юридические вопросы","https://docs.google.com/document/d/1toWq6tVqTXmH3CBiqaDgLaMKC7HpUPkncA3iJrD0jpE/edit?usp=sharing","200","reachable"
