area;type;access;http;card;list;labels;place;name;url;cardUrl
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Прототип главной страницы S";"Архив (Выполнено)";"";"вложение";"Макет S.jpg";"https://trello.com/1/cards/6815efe313c07ddcfcdba5d2/attachments/6863dadbfa4f59cb62175374/download/%D0%9C%D0%B0%D0%BA%D0%B5%D1%82_S.jpg";"https://trello.com/c/Y9GGGw4Q/106-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF-%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%BE%D0%B9-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-s"
"дизайн / frontend";"таблица Google";"открывается";"200";"ТЗ для дизайнера по RH";"Не актуально";"";"описание";"";"https://docs.google.com/spreadsheets/d/1AsU4TkGEHMJXWr_HyQIzVLEQU9jIRw2ETJeUcQTCMrg/edit?gid=1802756230#gid=1802756230";"https://trello.com/c/PnrET9qO/7-%D1%82%D0%B7-%D0%B4%D0%BB%D1%8F-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D0%B0-%D0%BF%D0%BE-rh"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ для дизайнера по RH";"Не актуально";"";"вложение";"MagicSlides.app Pricing.mhtml";"https://trello.com/1/cards/66d9ecafd8b829cfe5d39936/attachments/67459f649b9934dc41a0397e/download/MagicSlides.app_Pricing.mhtml";"https://trello.com/c/PnrET9qO/7-%D1%82%D0%B7-%D0%B4%D0%BB%D1%8F-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D0%B0-%D0%BF%D0%BE-rh"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ для дизайнера по RH";"Не актуально";"";"вложение";"MagicSlides.app Pricing.html";"https://trello.com/1/cards/66d9ecafd8b829cfe5d39936/attachments/67459f6597ca5784e9b132ab/download/MagicSlides.app_Pricing.html";"https://trello.com/c/PnrET9qO/7-%D1%82%D0%B7-%D0%B4%D0%BB%D1%8F-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D0%B0-%D0%BF%D0%BE-rh"
"дизайн / frontend";"другое";"доступ не проверен";"";"Case 8 - обновить дизайн";"Не актуально";"";"описание";"";"https://russianhugs.com";"https://trello.com/c/xKSQx2yH/14-case-8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
"дизайн / frontend";"другое";"доступ не проверен";"";"Case 8 - обновить дизайн";"Не актуально";"";"описание";"";"https://russianhugs.com/pro";"https://trello.com/c/xKSQx2yH/14-case-8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
"дизайн / frontend";"Google Drive";"открывается";"200";"Case 8 - обновить дизайн";"Не актуально";"";"описание";"";"https://drive.google.com/drive/folders/1c9Sj-tFT4F_EM4g2BukXQ5GpnxzSqInA";"https://trello.com/c/xKSQx2yH/14-case-8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Case 8 - обновить дизайн";"Не актуально";"";"описание";"";"https://trello.com/1/cards/615ef91fff109e056e4098fd/attachments/66c3370a86b630aa049fdf9b/download/image.png";"https://trello.com/c/xKSQx2yH/14-case-8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
"дизайн / frontend";"другое";"доступ не проверен";"";"Case 8 - обновить дизайн";"Не актуально";"";"описание";"";"https://lh7-rt.googleusercontent.com/docsz/AD_4nXd0bS2cad6jy45bCa2CKwvBjiK0GBa9jYkNQNB2Th_GSCwaMNTH0sbv9dCy6wL9kuuMe5FAtWPMzW938u5tGz6hinnNv9JS1qWIvD5vT2tra0-mmh9rBehsEyKxwRSCZt2u6QIp8Mxe9zNHXE3moUd9NDkY?key=vOG5UxZZ-a8Kd1p_AlKNlQ";"https://trello.com/c/xKSQx2yH/14-case-8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
"дизайн / frontend";"другое";"доступ не проверен";"";"Case 8 - обновить дизайн";"Не актуально";"";"описание";"";"https://lh7-rt.googleusercontent.com/docsz/AD_4nXfcfRqUrGWBdeIrZBlmiIYbSZm5hSM1Qsgzm42r5dOeENyu1GYKn30POijP0eKI4BXlyFGs_ay8A3SgCY7TaoR0R583giWq2IEzBsFEnZn-uicNQQRrYr-wU83my2w1dc1ik1kHMuXSAc6nvoJl40QQp5Vp?key=vOG5UxZZ-a8Kd1p_AlKNlQ";"https://trello.com/c/xKSQx2yH/14-case-8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Case 8 - обновить дизайн";"Не актуально";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d5210/attachments/66c48131fc327cbe148d55ae/download/image.png";"https://trello.com/c/xKSQx2yH/14-case-8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
"support / refund";"другое";"доступ не проверен";"";"Синхронизация кодовой базы с git";"Не актуально";"";"описание";"";"https://ploshadka.net/kak-podtjagivat-izmenenija-iz-github/";"https://trello.com/c/3yJTYSBx/12-%D1%81%D0%B8%D0%BD%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F-%D0%BA%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D0%B1%D0%B0%D0%B7%D1%8B-%D1%81-git"
"support / refund";"другое";"доступ не проверен";"";"Синхронизация кодовой базы с git";"Не актуально";"";"описание";"";"https://russianhugs.test:8890";"https://trello.com/c/3yJTYSBx/12-%D1%81%D0%B8%D0%BD%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F-%D0%BA%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D0%B1%D0%B0%D0%B7%D1%8B-%D1%81-git"
"общий источник";"другое";"доступ не проверен";"";"Case 66 - страница контроля";"Не актуально";"";"описание";"";"https://russianhugs.com/admin-cp/manage-own-users";"https://trello.com/c/TJQkuYho/2-case-66-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8F"
"чат / коммуникации";"другое";"доступ не проверен";"";"8.	Не корректно отображается перевод русского текста на странице “Найти совпадения”";"Не актуально";"";"описание";"";"https://russianhugs.com/settings-profile/";"https://trello.com/c/BPRH5CTK/7-8-%D0%BD%D0%B5-%D0%BA%D0%BE%D1%80%D1%80%D0%B5%D0%BA%D1%82%D0%BD%D0%BE-%D0%BE%D1%82%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B0%D0%B5%D1%82%D1%81%D1%8F-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4-%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B0-%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B5-%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D1%81%D0%BE%D0%B2%D0%BF%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"8.	Не корректно отображается перевод русского текста на странице “Найти совпадения”";"Не актуально";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d5203/attachments/66c48131fc327cbe148d5581/download/image.png";"https://trello.com/c/BPRH5CTK/7-8-%D0%BD%D0%B5-%D0%BA%D0%BE%D1%80%D1%80%D0%B5%D0%BA%D1%82%D0%BD%D0%BE-%D0%BE%D1%82%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B0%D0%B5%D1%82%D1%81%D1%8F-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4-%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B0-%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B5-%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D1%81%D0%BE%D0%B2%D0%BF%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F"
"общий источник";"другое";"доступ не проверен";"";"Дает создавать дубли стран";"Не актуально";"";"описание";"";"https://russianhugs.com/admin-cp/manage-countries";"https://trello.com/c/RqZgUOP9/10-%D0%B4%D0%B0%D0%B5%D1%82-%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%B2%D0%B0%D1%82%D1%8C-%D0%B4%D1%83%D0%B1%D0%BB%D0%B8-%D1%81%D1%82%D1%80%D0%B0%D0%BD"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Дает создавать дубли стран";"Не актуально";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d5209/attachments/66c48131fc327cbe148d5593/download/image.png";"https://trello.com/c/RqZgUOP9/10-%D0%B4%D0%B0%D0%B5%D1%82-%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%B2%D0%B0%D1%82%D1%8C-%D0%B4%D1%83%D0%B1%D0%BB%D0%B8-%D1%81%D1%82%D1%80%D0%B0%D0%BD"
"общий источник";"другое";"доступ не проверен";"";"Устранить баг по сохранению изменений в языке в панеле администратора";"Не актуально";"";"описание";"";"https://russianhugs.com/admin-cp/edit-lang?id=russian";"https://trello.com/c/ytzHZP17/9-%D1%83%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D1%8C-%D0%B1%D0%B0%D0%B3-%D0%BF%D0%BE-%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D1%8E-%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B9-%D0%B2-%D1%8F%D0%B7%D1%8B%D0%BA%D0%B5-%D0%B2-%D0%BF%D0%B0%D0%BD%D0%B5%D0%BB%D0%B5-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B0"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Устранить баг по сохранению изменений в языке в панеле администратора";"Не актуально";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d5207/attachments/66c48131fc327cbe148d558a/download/image.png";"https://trello.com/c/ytzHZP17/9-%D1%83%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D1%8C-%D0%B1%D0%B0%D0%B3-%D0%BF%D0%BE-%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D1%8E-%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B9-%D0%B2-%D1%8F%D0%B7%D1%8B%D0%BA%D0%B5-%D0%B2-%D0%BF%D0%B0%D0%BD%D0%B5%D0%BB%D0%B5-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B0"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по доработкам";"Не актуально";"";"вложение";"ТЗ для DEV.docx";"https://trello.com/1/cards/66c48131fc327cbe148d51f9/attachments/66c48131fc327cbe148d557f/download/%D0%A2%D0%97_%D0%B4%D0%BB%D1%8F_DEV.docx";"https://trello.com/c/8c5qCQAo/2-%D1%82%D0%B7-%D0%BF%D0%BE-%D0%B4%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%B0%D0%BC"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Найти и сработаться с прогером";"Полка (Когда-нибудь)";"На паузе";"вложение";"resume_eng.docx";"https://trello.com/1/cards/677bdd3a50efbd052b86b76d/attachments/67a1c3de9219d6d39827c43c/download/resume_eng.docx";"https://trello.com/c/aM3yiOA6/56-%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D0%B8-%D1%81%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D1%82%D1%8C%D1%81%D1%8F-%D1%81-%D0%BF%D1%80%D0%BE%D0%B3%D0%B5%D1%80%D0%BE%D0%BC"
"чат / коммуникации";"другое";"доступ не проверен";"";"Программист чат-ботов";"Полка (Когда-нибудь)";"Done. Testing";"описание";"";"https://freelancehunt.com/freelancer/yuriiskylex.html";"https://trello.com/c/SG8qhM0Q/53-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2"
"email / уведомления";"другое";"доступ не проверен";"";"Подключить платежные системы";"Полка (Когда-нибудь)";"";"описание";"";"http://Stripe.com";"https://trello.com/c/o5xgYdus/15-%D0%BF%D0%BE%D0%B4%D0%BA%D0%BB%D1%8E%D1%87%D0%B8%D1%82%D1%8C-%D0%BF%D0%BB%D0%B0%D1%82%D0%B5%D0%B6%D0%BD%D1%8B%D0%B5-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B"
"общий источник";"другое";"доступ не проверен";"";"HTML5/CSS3. HTML - должен содержать минимум ошибок";"Полка (Когда-нибудь)";"";"описание";"";"http://validator.w3.org";"https://trello.com/c/NijwhmEL/3-html5-css3-html-%D0%B4%D0%BE%D0%BB%D0%B6%D0%B5%D0%BD-%D1%81%D0%BE%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D1%8C-%D0%BC%D0%B8%D0%BD%D0%B8%D0%BC%D1%83%D0%BC-%D0%BE%D1%88%D0%B8%D0%B1%D0%BE%D0%BA"
"общий источник";"другое";"доступ не проверен";"";"HTML5/CSS3. HTML - должен содержать минимум ошибок";"Полка (Когда-нибудь)";"";"описание";"";"https://developers.google.com/speed/pagespeed/";"https://trello.com/c/NijwhmEL/3-html5-css3-html-%D0%B4%D0%BE%D0%BB%D0%B6%D0%B5%D0%BD-%D1%81%D0%BE%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D1%8C-%D0%BC%D0%B8%D0%BD%D0%B8%D0%BC%D1%83%D0%BC-%D0%BE%D1%88%D0%B8%D0%B1%D0%BE%D0%BA"
"email / уведомления";"другое";"доступ не проверен";"";"Case 41 - реакции";"Полка (Когда-нибудь)";"";"описание";"";"https://russianhugs.com/profile/sveta23467";"https://trello.com/c/wWQyoquC/24-case-41-%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D0%B8"
"email / уведомления";"другое";"доступ не проверен";"";"Case 41 - реакции";"Полка (Когда-нибудь)";"";"описание";"";"https://russianhugs.com/liked";"https://trello.com/c/wWQyoquC/24-case-41-%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D0%B8"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"Case 41 - реакции";"Полка (Когда-нибудь)";"";"описание";"";"https://trello.com/1/cards/66c34d7f8dcbf055b184f418/attachments/66c34ddcac4ac9c8af70ba42/download/image.png";"https://trello.com/c/wWQyoquC/24-case-41-%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D0%B8"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"Case 41 - реакции";"Полка (Когда-нибудь)";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d5224/attachments/66c48131fc327cbe148d55e4/download/image.png";"https://trello.com/c/wWQyoquC/24-case-41-%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D0%B8"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"Case 71 - телеграмбот как аналог сайта знакомств";"Полка (Когда-нибудь)";"";"вложение";"Схема базового чат-бот для детинг сайта.png";"https://trello.com/1/cards/66c4a898221c21bdc2c969f4/attachments/66c4a8c1bdb813f4c67d32b1/download/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0_%D0%B1%D0%B0%D0%B7%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82_%D0%B4%D0%BB%D1%8F_%D0%B4%D0%B5%D1%82%D0%B8%D0%BD%D0%B3_%D1%81%D0%B0%D0%B9%D1%82%D0%B0.png";"https://trello.com/c/6spIuhRw/1-case-71-%D1%82%D0%B5%D0%BB%D0%B5%D0%B3%D1%80%D0%B0%D0%BC%D0%B1%D0%BE%D1%82-%D0%BA%D0%B0%D0%BA-%D0%B0%D0%BD%D0%B0%D0%BB%D0%BE%D0%B3-%D1%81%D0%B0%D0%B9%D1%82%D0%B0-%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%81%D1%82%D0%B2"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"Case 71 - телеграмбот как аналог сайта знакомств";"Полка (Когда-нибудь)";"";"вложение";"Схема работы телеграм бота.png";"https://trello.com/1/cards/66c4a898221c21bdc2c969f4/attachments/66c4a8d1a6e7697731cb8bd1/download/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0_%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B_%D1%82%D0%B5%D0%BB%D0%B5%D0%B3%D1%80%D0%B0%D0%BC_%D0%B1%D0%BE%D1%82%D0%B0.png";"https://trello.com/c/6spIuhRw/1-case-71-%D1%82%D0%B5%D0%BB%D0%B5%D0%B3%D1%80%D0%B0%D0%BC%D0%B1%D0%BE%D1%82-%D0%BA%D0%B0%D0%BA-%D0%B0%D0%BD%D0%B0%D0%BB%D0%BE%D0%B3-%D1%81%D0%B0%D0%B9%D1%82%D0%B0-%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%81%D1%82%D0%B2"
"email / уведомления";"Trello-связь";"внутренняя Trello-связь";"";"Case 71 - телеграмбот как аналог сайта знакомств";"Полка (Когда-нибудь)";"";"вложение";"detailed_tech_telegram_dating_bot_flowchart.png";"https://trello.com/1/cards/66c4a898221c21bdc2c969f4/attachments/66c4a8eae5f509efb2cbfdd2/download/detailed_tech_telegram_dating_bot_flowchart.png";"https://trello.com/c/6spIuhRw/1-case-71-%D1%82%D0%B5%D0%BB%D0%B5%D0%B3%D1%80%D0%B0%D0%BC%D0%B1%D0%BE%D1%82-%D0%BA%D0%B0%D0%BA-%D0%B0%D0%BD%D0%B0%D0%BB%D0%BE%D0%B3-%D1%81%D0%B0%D0%B9%D1%82%D0%B0-%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%81%D1%82%D0%B2"
"общий источник";"таблица Google";"нужен доступ / вход";"200";"Case 61 - оплата за лайки";"Полка (Когда-нибудь)";"";"описание";"";"https://docs.google.com/spreadsheets/d/1IzTZm4FI9PxIDfr0_FIk0UJxzohkEJcQFTilXM8TLMg/edit?pli=1&gid=80824715#gid=80824715";"https://trello.com/c/RxpFcHXl/22-case-61-%D0%BE%D0%BF%D0%BB%D0%B0%D1%82%D0%B0-%D0%B7%D0%B0-%D0%BB%D0%B0%D0%B9%D0%BA%D0%B8"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Добавить кнопку авторизации через телеграм";"Полка (Когда-нибудь)";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d520b/attachments/66c48131fc327cbe148d559c/download/image.png";"https://trello.com/c/lF4KDNIx/11-%D0%B4%D0%BE%D0%B1%D0%B0%D0%B2%D0%B8%D1%82%D1%8C-%D0%BA%D0%BD%D0%BE%D0%BF%D0%BA%D1%83-%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-%D1%82%D0%B5%D0%BB%D0%B5%D0%B3%D1%80%D0%B0%D0%BC"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Добавить кнопку авторизации через телеграм";"Полка (Когда-нибудь)";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d520b/attachments/66c48131fc327cbe148d55a5/download/image.png";"https://trello.com/c/lF4KDNIx/11-%D0%B4%D0%BE%D0%B1%D0%B0%D0%B2%D0%B8%D1%82%D1%8C-%D0%BA%D0%BD%D0%BE%D0%BF%D0%BA%D1%83-%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-%D1%82%D0%B5%D0%BB%D0%B5%D0%B3%D1%80%D0%B0%D0%BC"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"ТЗ аналитика на Дашборде";"На проверке";"На согласование, ТЗ Игорю";"описание";"";"https://cutthreat.github.io/confideline/web/dashboard-analytics-mockup.html";"https://trello.com/c/whZiCsxv/277-%D1%82%D0%B7-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0-%D0%BD%D0%B0-%D0%B4%D0%B0%D1%88%D0%B1%D0%BE%D1%80%D0%B4%D0%B5"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ аналитика на Дашборде";"На проверке";"На согласование, ТЗ Игорю";"вложение";"https://trello.com/c/hFPIK4R5/252-%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0";"https://trello.com/c/hFPIK4R5/252-%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0";"https://trello.com/c/whZiCsxv/277-%D1%82%D0%B7-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0-%D0%BD%D0%B0-%D0%B4%D0%B0%D1%88%D0%B1%D0%BE%D1%80%D0%B4%D0%B5"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Статистика / аналитика";"На проверке";"ТЗ Игорю";"вложение";"analitica-confideline-1.html";"https://trello.com/1/cards/6989f17bbdbb766a4583e5c7/attachments/69a696481ef1a0a1c3f3119b/download/analitica-confideline-1.html";"https://trello.com/c/hFPIK4R5/252-%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ Авторизация через соцсети";"На проверке";"";"вложение";"image.png";"https://trello.com/1/cards/695a624ad3a78b2beb264e7b/attachments/6983434f7a653f129905b78a/download/image.png";"https://trello.com/c/RB7eDSz8/232-%D1%82%D0%B7-%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-%D1%81%D0%BE%D1%86%D1%81%D0%B5%D1%82%D0%B8"
"дизайн / frontend";"Google Drive";"открывается";"200";"Макеты для почтовых рассылок (ИИ)";"На проверке";"На согласование, ТЗ Игорю";"описание";"";"https://drive.google.com/drive/folders/1CRoOqYaxaJKH7PWykYakqGaN9sS6qpuP?usp=sharing";"https://trello.com/c/RX4P6jw5/236-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%BE%D1%87%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BE%D0%BA-%D0%B8%D0%B8"
"дизайн / frontend";"таблица Google";"открывается";"200";"Макеты для почтовых рассылок (ИИ)";"На проверке";"На согласование, ТЗ Игорю";"вложение";"https://docs.google.com/spreadsheets/d/1mMYjHg5W2olRmz_6ofX6ObBOZUio-KK76ukcXwgfs6U/edit?gid=1282128275#gid=1282128275";"https://docs.google.com/spreadsheets/d/1mMYjHg5W2olRmz_6ofX6ObBOZUio-KK76ukcXwgfs6U/edit?gid=1282128275#gid=1282128275";"https://trello.com/c/RX4P6jw5/236-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%BE%D1%87%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BE%D0%BA-%D0%B8%D0%B8"
"support / refund";"другое";"доступ не проверен";"";"ТЗ по тех поддержке на сайте (суппорт)";"На проверке";"На согласование, ТЗ Игорю";"описание";"";"https://confideline.com/ru/admin/support/index";"https://trello.com/c/IRQiN429/233-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%82%D0%B5%D1%85-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D1%83%D0%BF%D0%BF%D0%BE%D1%80%D1%82"
"support / refund";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по тех поддержке на сайте (суппорт)";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/695a65fa63c119f6804254b9/attachments/6965c85da04a2e68076a0af9/download/image.png";"https://trello.com/c/IRQiN429/233-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%82%D0%B5%D1%85-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D1%83%D0%BF%D0%BF%D0%BE%D1%80%D1%82"
"support / refund";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по тех поддержке на сайте (суппорт)";"На проверке";"На согласование, ТЗ Игорю";"вложение";"image.png";"https://trello.com/1/cards/695a65fa63c119f6804254b9/attachments/6965cc80decc2f14e6fd8d13/download/image.png";"https://trello.com/c/IRQiN429/233-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%82%D0%B5%D1%85-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D1%83%D0%BF%D0%BF%D0%BE%D1%80%D1%82"
