slug,name,audit_status,panel_status,panel_photo_count,fresh_drive_photo_count,file_links_ok,folder_fetch_ok,folder_status,folder_entries,folder_url,panel_photo_1,panel_photo_2,fresh_photo_1,fresh_photo_2,admin_url,public_url
vietnam,Vietnam,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=1562822,https://confideline.com/country/vietnam
thailand,Thailand,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=1605651,https://confideline.com/country/thailand
serbia,Serbia,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=6290252,https://confideline.com/country/serbia
montenegro,Montenegro,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=3194884,https://confideline.com/country/montenegro
lithuania,Lithuania,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=597427,https://confideline.com/country/lithuania
poland,Poland,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=798544,https://confideline.com/country/poland
ukraine,Ukraine,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=690791,https://confideline.com/country/ukraine
russia,Russia,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=2017370,https://confideline.com/country/russia
spain,Spain,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=2510769,https://confideline.com/country/spain
singapore,Singapore,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=1880251,https://confideline.com/country/singapore
monaco,Monaco,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=2993457,https://confideline.com/country/monaco
united-arab-emirates,United Arab Emirates,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=290557,https://confideline.com/country/united-arab-emirates
switzerland,Switzerland,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=2658434,https://confideline.com/country/switzerland
united-kingdom,United Kingdom,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=2635167,https://confideline.com/country/united-kingdom
united-states,United States,no_drive_folder,red,0,0,0,0,0,0,,,,,,https://confideline.com/ru/admin/country/update?id=6252001,https://confideline.com/country/united-states
